"match_id","match_vec","cluster_label","win_label"
"1","[370, 300, 20, 4, 283, 300, 24, 9, 134.10867773230677, 71.45483185351047, 72.831337129492923, 59.183340576197871, -141.1952912406945, 69.96751299422607, 68.853358775374105, -46.850511183393905, -10.539086434442154, -114.2686032503958, -47.838526314048146, 53.254711708587124, 50.641407737313173, 25.425942343464801, 7.2606831854194773, 16.800123428755718, 22.338422522671323, -33.996150948812577, -36.550002311687479, -39.367888117948205, -27.940152731764414, -42.257567220623777]","0","1"
"2","[69, 143, 10, 10, 72, 48, 7, 0, 14.054424529038993, -0.24024174533595, -0.71254607014277294, -113.53550810707961, -5.5484935596148945, 13.288787329382314, -51.469468533589364, -10.635127762895479, -11.392456010736318, -28.608486970860536, -59.269980726310543, 60.435776735419012, 77.766927528847233, -21.059360446399442, 100.28468850750757, -36.101700058177649, 8.3035474915857446, -21.182225065762726, 3.0692037919133317, 14.232235605309128, -17.898203347575166, -50.487917924612134]","1","0"
"19","[58, 113, 2, 10, 59, 74, 7, 1, 53.254711708587124, 50.641407737313173, 25.425942343464801, 16.800123428755718, 7.2606831854194773, 22.338422522671323, -31.950779369913189, -36.550002311687479, -27.940152731764414, -39.367888117948205, -42.257567220623777, 70.789381196832394, 37.548674311309227, 35.951788972416082, 29.015103899762689, 26.886934032615486, 9.4411881210793354, 2.0941112365406807, 10.078933740292237, -38.596292039301524, -27.918781373292912, -21.484455036711118]","1","1"
"3","[332, 300, 12, 7, 122, 221, 13, 10, 97.574504381381217, 90.155959322646055, 95.342240244692746, 83.998353243551165, 16.708081194167459, 12.693655915989449, -13.254328761433509, 21.48577247804527, -6.7302102360547984, 19.136818786401836, -55.187579335738, 4.4311383426469044, -27.30097468459546, 13.02227656976792, -21.570938292165337, 60.254590526953152, -2.5433381633410237, -7.5663141778350491, -66.854388170055273, -11.325179412243193, -34.983019909679719, -41.838073928769084]","2","1"
"4","[262, 300, 14, 6, 171, 278, 18, 10, 11.478558265439217, 70.322637280550254, 68.951352672138441, 40.431497250735539, 12.138808325708636, 45.41243820840149, 70.789381196832394, 6.7307115866278115, -70.450741112669192, -21.569660517286405, -53.519228294656337, 100.28468850750757, -0.084704139423613878, 66.887558852896959, 64.982710958840968, -24.525905350403331, -19.33378763922483, 11.656439930031071, -15.929623912765937, -10.572458325936852, -18.10734755716053, -37.260714103799955]","2","1"
"7","[222, 285, 15, 10, 223, 257, 11, 3, 37.548674311309227, 70.789381196832394, 35.951788972416082, 29.015103899762689, 26.886934032615486, 35.951788972416082, 2.0941112365406807, 9.4411881210793354, 10.078933740292237, -27.918781373292912, -21.484455036711118, 82.82671133158388, 28.038870579670927, 19.494487575794786, 117.02410354173399, 32.148276094205762, 4.0024567466741425, -23.105571461398018, 15.202641557145443, -42.662703348669702, -9.9290494423721416, -22.653545935928566]","2","0"
"8","[206, 271, 24, 10, 207, 204, 32, 3, 60.435776735419012, 77.766927528847233, -21.059360446399442, 100.28468850750757, -36.101700058177649, 8.3035474915857446, 0.5237286547637372, 3.0692037919133317, -21.182225065762726, -17.898203347575166, -50.487917924612134, 11.478558265439217, 70.322637280550254, 68.951352672138441, 40.431497250735539, 12.138808325708636, 45.41243820840149, 70.789381196832394, 6.7307115866278115, -70.450741112669192, -21.569660517286405, -53.519228294656337]","2","0"
"9","[205, 296, 11, 10, 178, 270, 13, 10, 53.254711708587124, 50.641407737313173, 25.425942343464801, 16.800123428755718, 7.2606831854194773, 22.338422522671323, -31.950779369913189, -36.550002311687479, -27.940152731764414, -39.367888117948205, -42.257567220623777, 49.330194225751725, 26.960644193050005, 53.984103711744808, 45.156650612012484, -30.698464981390078, 70.547867927614803, -17.526820417550461, -6.1467719454244909, -10.282041664928714, -16.907542830542177, -111.02905810057545]","2","1"
"10","[277, 300, 9, 7, 266, 300, 29, 9, -0.17133994328019098, 15.847561875563899, 42.069398324999483, 48.407833241802749, 61.689122176355269, 59.988032428172716, 16.688825407523858, 9.6581900197255131, 24.284747376969584, -80.921841713146122, -70.472142847683372, 97.574504381381217, 90.155959322646055, 95.342240244692746, 83.998353243551165, 21.48577247804527, 22.032903317924639, 12.693655915989449, 16.708081194167459, -6.7302102360547984, -57.48134702020478, 19.136818786401836]","2","1"
"12","[298, 300, 4, 9, 123, 253, 9, 10, 100.28468850750757, -0.084704139423613878, 66.887558852896959, 64.982710958840968, -24.525905350403331, -19.33378763922483, -30.93229177601048, -15.929623912765937, -10.572458325936852, -18.10734755716053, -37.260714103799955, -27.30097468459546, -14.643432352254056, 4.4311383426469044, 60.254590526953152, -21.570938292165337, -2.5433381633410237, 13.02227656976792, -7.5663141778350491, -66.854388170055273, -11.325179412243193, -34.983019909679719]","2","1"
"13","[330, 300, 21, 8, 115, 189, 2, 10, 70.789381196832394, 37.548674311309227, 35.951788972416082, 29.015103899762689, 9.4411881210793354, 10.078933740292237, 26.886934032615486, 2.0941112365406807, -38.596292039301524, -27.918781373292912, -21.484455036711118, 10.024212854202931, 29.825734878884703, 1.5222391901277406, 49.893212082023709, -4.8554180763507562, 11.548797048752595, 15.510611348254544, -33.479418548158101, -59.885142746683471, -83.911812934791371, -174.08625240559883]","2","0"
"15","[327, 300, 23, 8, 329, 295, 33, 7, 112.81845060171879, 0.87715743380603717, 72.977300280234047, 58.559095920543783, -81.535663794594512, 20.35996897208209, -19.903575307222155, -72.035078290125199, 0.33012916260288316, -52.833108030422792, -76.437822073445602, 49.330194225751725, 26.960644193050005, 53.984103711744808, 45.156650612012484, 48.108663973698498, 70.547867927614803, -69.097668105101548, -6.1467719454244909, -10.282041664928714, -16.907542830542177, -111.02905810057545]","2","1"
"16","[351, 300, 24, 5, 120, 209, 8, 10, 82.82671133158388, 28.038870579670927, 19.494487575794786, 117.02410354173399, 4.0024567466741425, 32.148276094205762, 28.218554522083203, 15.202641557145443, -42.662703348669702, -9.9290494423721416, -22.653545935928566, 10.024212854202931, 29.825734878884703, 1.5222391901277406, -4.8554180763507562, 49.893212082023709, 11.548797048752595, 15.510611348254544, -33.479418548158101, -59.885142746683471, -83.911812934791371, -174.08625240559883]","2","1"
"17","[184, 258, 24, 10, 138, 257, 23, 10, 15.847561875563899, -0.17133994328019098, 42.069398324999483, 48.407833241802749, 61.689122176355269, 59.988032428172716, 16.688825407523858, 9.6581900197255131, 24.284747376969584, -26.822406559137612, -47.742226151099487, 4.4311383426469044, -14.643432352254056, 13.02227656976792, 60.254590526953152, -21.570938292165337, -2.5433381633410237, -7.5663141778350491, -11.325179412243193, -66.854388170055273, -34.983019909679719, -41.838073928769084]","2","0"
"18","[162, 278, 7, 10, 166, 201, 4, 0, 100.28468850750757, -0.084704139423613878, 66.887558852896959, 64.982710958840968, -24.525905350403331, 11.656439930031071, -30.93229177601048, -15.929623912765937, -10.572458325936852, -18.10734755716053, -89.477627137813727, 60.435776735419012, 77.766927528847233, -21.059360446399442, 100.28468850750757, -36.101700058177649, 8.3035474915857446, 3.0692037919133317, -21.182225065762726, 47.684348627651374, -17.898203347575166, -50.487917924612134]","2","0"
"21","[171, 274, 20, 10, 165, 286, 6, 10, 112.81845060171879, 0.87715743380603717, 72.977300280234047, 58.559095920543783, 2.6423702392547894, 20.35996897208209, -72.035078290125199, -19.903575307222155, 0.33012916260288316, -52.833108030422792, -76.437822073445602, 82.82671133158388, 28.038870579670927, 19.494487575794786, 117.02410354173399, 4.0024567466741425, 32.148276094205762, 28.218554522083203, 15.202641557145443, -9.9290494423721416, -42.662703348669702, -22.653545935928566]","2","0"
"23","[198, 300, 14, 10, 199, 273, 13, 5, -5.5484935596148945, -0.24024174533595, -0.71254607014277294, 24.050535972144559, -113.53550810707961, 46.170485238556779, -51.469468533589364, -10.635127762895479, -11.392456010736318, -59.269980726310543, -84.553117094516708, 4.4311383426469044, -2.5433381633410237, 13.02227656976792, 60.254590526953152, -21.570938292165337, -7.5663141778350491, -27.30097468459546, -11.325179412243193, -46.621055116657402, -41.838073928769084, -34.983019909679719]","2","1"
"24","[302, 300, 24, 7, 192, 250, 10, 10, 60.435776735419012, 77.766927528847233, 0.5237286547637372, 100.28468850750757, -36.101700058177649, 8.3035474915857446, 3.0692037919133317, 14.232235605309128, 47.684348627651374, -21.182225065762726, -17.898203347575166, 15.847561875563899, -0.17133994328019098, 42.069398324999483, 48.407833241802749, 61.689122176355269, 59.988032428172716, 16.688825407523858, 9.6581900197255131, -80.921841713146122, 24.284747376969584, -70.472142847683372]","2","0"
"26","[327, 300, 15, 6, 188, 234, 16, 10, 97.574504381381217, 90.155959322646055, 16.708081194167459, 83.998353243551165, 95.342240244692746, 12.693655915989449, 22.032903317924639, 21.48577247804527, -6.7302102360547984, 11.679103271354505, 19.136818786401836, 100.28468850750757, 11.656439930031071, 66.887558852896959, -15.929623912765937, 64.982710958840968, -24.525905350403331, -30.93229177601048, -10.572458325936852, -18.10734755716053, -89.477627137813727, -37.260714103799955]","2","1"
"27","[275, 300, 12, 10, 231, 294, 8, 10, 70.789381196832394, 26.886934032615486, 35.951788972416082, 29.015103899762689, 9.4411881210793354, 10.078933740292237, 2.0941112365406807, 18.393570465868358, -38.596292039301524, -27.918781373292912, -21.484455036711118, 49.330194225751725, 26.960644193050005, 53.984103711744808, 45.156650612012484, 48.108663973698498, 70.547867927614803, -69.097668105101548, -6.1467719454244909, -17.526820417550461, -16.907542830542177, -111.02905810057545]","2","0"
"28","[225, 298, 10, 10, 227, 294, 33, 8, 112.81845060171879, 20.35996897208209, 72.977300280234047, 58.559095920543783, 52.256011819395127, 2.6423702392547894, 0.33012916260288316, -81.535663794594512, -19.903575307222155, -3.5717079565165988, -76.437822073445602, 53.254711708587124, 50.641407737313173, 25.425942343464801, 22.338422522671323, 7.2606831854194773, 16.800123428755718, -33.996150948812577, -36.550002311687479, -39.367888117948205, -27.940152731764414, -42.257567220623777]","2","0"
"30","[358, 300, 18, 6, 261, 300, 17, 9, 60.435776735419012, 77.766927528847233, -21.059360446399442, 100.28468850750757, 3.0692037919133317, 19.510920334088969, 8.3035474915857446, -36.101700058177649, 14.232235605309128, 47.684348627651374, -17.898203347575166, 4.4311383426469044, 45.019622715112028, 13.02227656976792, 60.254590526953152, -21.570938292165337, -2.5433381633410237, -27.30097468459546, -34.983019909679719, -11.325179412243193, -66.854388170055273, -41.838073928769084]","2","1"
"31","[324, 300, 24, 6, 264, 300, 23, 6, 11.478558265439217, 70.322637280550254, 68.951352672138441, 40.431497250735539, 12.138808325708636, 43.831652552882659, 70.789381196832394, 6.7307115866278115, -21.569660517286405, -70.450741112669192, -53.519228294656337, -5.5484935596148945, 14.054424529038993, -0.71254607014277294, 24.050535972144559, 46.170485238556779, -10.635127762895479, 13.288787329382314, -51.469468533589364, -11.392456010736318, -59.269980726310543, -84.553117094516708]","2","0"
"32","[160, 278, 9, 10, 166, 248, 9, 4, 12.934158247075411, 29.825734878884703, -33.479418548158101, 1.5222391901277406, 49.893212082023709, 10.024212854202931, 11.548797048752595, 20.770563939980843, 15.510611348254544, -59.885142746683471, -106.29710878073361, 53.254711708587124, 50.641407737313173, 25.425942343464801, 21.178496974913678, 7.2606831854194773, 16.800123428755718, -33.996150948812577, -72.709355355077449, -39.367888117948205, -27.940152731764414, -42.257567220623777]","2","0"
"34","[272, 300, 9, 7, 141, 200, 4, 10, 82.82671133158388, 28.038870579670927, 28.218554522083203, 19.494487575794786, 32.148276094205762, 4.0024567466741425, 53.275254904013053, -23.105571461398018, 15.202641557145443, -42.662703348669702, -9.9290494423721416, 49.330194225751725, 26.960644193050005, 53.984103711744808, 45.156650612012484, 48.108663973698498, 70.547867927614803, -69.097668105101548, -6.1467719454244909, -10.282041664928714, -16.907542830542177, -111.02905810057545]","2","0"
"35","[211, 274, 16, 10, 212, 209, 3, 3, 45.019622715112028, -27.30097468459546, 13.02227656976792, 60.254590526953152, -21.570938292165337, -2.5433381633410237, -14.643432352254056, 3.8423256384004998, -11.325179412243193, -34.983019909679719, -41.838073928769084, 11.478558265439217, 70.322637280550254, 68.951352672138441, 40.431497250735539, 12.138808325708636, 43.831652552882659, 70.789381196832394, 6.7307115866278115, -21.569660517286405, -70.450741112669192, -53.519228294656337]","2","1"
"36","[243, 292, 22, 10, 225, 268, 11, 10, 112.81845060171879, 20.35996897208209, 72.977300280234047, 58.559095920543783, 52.256011819395127, 2.6423702392547894, -1.1645158595709093, -25.949420700254919, -19.903575307222155, 0.33012916260288316, -85.376940469048861, 70.789381196832394, 37.548674311309227, 10.078933740292237, 35.951788972416082, 2.0941112365406807, 29.015103899762689, 9.4411881210793354, 18.393570465868358, -27.918781373292912, -21.484455036711118, -38.923144290570363]","2","0"
"37","[306, 300, 17, 10, 307, 286, 11, 4, 12.934158247075411, 29.825734878884703, 1.5222391901277406, 49.893212082023709, 10.024212854202931, 15.510611348254544, 20.770563939980843, -33.479418548158101, -59.885142746683471, -106.29710878073361, -83.911812934791371, 49.330194225751725, 26.960644193050005, 53.984103711744808, 45.156650612012484, 48.108663973698498, 70.547867927614803, -69.097668105101548, -10.282041664928714, -6.1467719454244909, -16.907542830542177, -111.02905810057545]","2","1"
"38","[265, 300, 19, 9, 153, 210, 11, 10, 97.574504381381217, 90.155959322646055, 95.342240244692746, 83.998353243551165, 12.693655915989449, 21.48577247804527, 22.032903317924639, -6.7302102360547984, 11.679103271354505, 19.136818786401836, -55.187579335738, 60.435776735419012, 77.766927528847233, -21.059360446399442, 100.28468850750757, 19.510920334088969, 8.3035474915857446, -36.101700058177649, 3.0692037919133317, 14.232235605309128, -17.898203347575166, -50.487917924612134]","2","1"
"39","[284, 300, 7, 8, 78, 168, 8, 10, 82.82671133158388, 28.038870579670927, 19.494487575794786, 32.148276094205762, 4.0024567466741425, 28.218554522083203, -23.105571461398018, 15.202641557145443, -42.065981910058717, 41.583331777364137, -22.653545935928566, 53.254711708587124, 50.641407737313173, 25.425942343464801, 21.178496974913678, 16.800123428755718, 7.2606831854194773, -33.996150948812577, -36.550002311687479, -27.940152731764414, -39.367888117948205, -42.257567220623777]","2","0"
"40","[176, 280, 15, 10, 178, 246, 7, 6, 11.478558265439217, 70.322637280550254, 68.951352672138441, 40.431497250735539, 12.138808325708636, 43.831652552882659, 70.789381196832394, 6.7307115866278115, -70.450741112669192, -21.569660517286405, -53.519228294656337, 42.069398324999483, 15.847561875563899, 66.199631437141036, 48.407833241802749, 61.689122176355269, 59.988032428172716, 16.688825407523858, 9.6581900197255131, -80.921841713146122, 24.284747376969584, -26.822406559137612]","2","1"
"41","[308, 300, 19, 6, 147, 216, 7, 10, 100.28468850750757, 11.656439930031071, 66.887558852896959, 53.617997580332769, 64.982710958840968, -24.525905350403331, -30.93229177601048, -15.929623912765937, -10.572458325936852, -18.10734755716053, -37.260714103799955, 14.054424529038993, 24.050535972144559, -0.71254607014277294, -113.53550810707961, 46.170485238556779, -10.635127762895479, 13.288787329382314, -11.392456010736318, -25.251342631983391, -59.269980726310543, -84.553117094516708]","2","1"
"42","[268, 295, 16, 10, 188, 258, 14, 10, 72.831337129492923, 71.45483185351047, 59.183340576197871, 69.96751299422607, 68.853358775374105, 38.737542932272248, -141.1952912406945, -46.850511183393905, 7.6076151749627448, -10.539086434442154, -47.838526314048146, 70.789381196832394, 23.793072788735337, 35.951788972416082, 29.015103899762689, 9.4411881210793354, 2.0941112365406807, 10.078933740292237, 18.393570465868358, -27.918781373292912, -38.923144290570363, -39.860521244960232]","2","0"
"43","[112, 261, 11, 10, 113, 125, 5, 0, 70.789381196832394, 37.548674311309227, 29.015103899762689, 35.951788972416082, 26.886934032615486, 9.4411881210793354, 2.0941112365406807, 10.078933740292237, -38.923144290570363, -21.484455036711118, -39.860521244960232, 42.069398324999483, 15.847561875563899, 66.199631437141036, 48.407833241802749, 61.689122176355269, 59.988032428172716, 16.688825407523858, 9.6581900197255131, 24.284747376969584, -26.822406559137612, -47.742226151099487]","2","0"
"44","[260, 300, 11, 6, 261, 286, 21, 5, 11.478558265439217, 70.322637280550254, 68.951352672138441, 40.431497250735539, 43.831652552882659, 12.138808325708636, 45.41243820840149, 6.7307115866278115, -21.569660517286405, -70.450741112669192, -53.519228294656337, 134.10867773230677, 71.45483185351047, 72.831337129492923, 59.183340576197871, 69.96751299422607, 68.853358775374105, 38.737542932272248, 7.6076151749627448, -46.850511183393905, -10.539086434442154, -47.838526314048146]","2","1"
"45","[221, 300, 14, 8, 172, 260, 3, 10, 60.435776735419012, 77.766927528847233, -21.059360446399442, 100.28468850750757, 8.3035474915857446, 19.510920334088969, 3.0692037919133317, 14.232235605309128, -21.182225065762726, -15.853890476600688, -17.898203347575166, 82.82671133158388, 28.038870579670927, 19.494487575794786, 117.02410354173399, 32.148276094205762, 4.0024567466741425, -23.105571461398018, 15.202641557145443, -9.9290494423721416, -42.662703348669702, -22.653545935928566]","2","0"
"46","[229, 300, 9, 6, 231, 237, 21, 0, 112.81845060171879, 58.559095920543783, 72.977300280234047, 2.6423702392547894, 52.256011819395127, 0.33012916260288316, 20.35996897208209, -1.1645158595709093, -19.903575307222155, -25.949420700254919, -85.376940469048861, 97.574504381381217, 90.155959322646055, 95.342240244692746, 83.998353243551165, 21.48577247804527, 22.032903317924639, 12.693655915989449, 11.679103271354505, -57.48134702020478, -55.187579335738, 19.136818786401836]","2","0"
"47","[217, 293, 12, 10, 220, 287, 12, 5, 60.435776735419012, 77.766927528847233, -21.059360446399442, 100.28468850750757, 8.3035474915857446, 19.510920334088969, 3.0692037919133317, 14.232235605309128, -21.182225065762726, -17.898203347575166, -74.033763838596116, 97.574504381381217, 90.155959322646055, 95.342240244692746, 83.998353243551165, 21.48577247804527, 22.032903317924639, 12.693655915989449, 11.679103271354505, -57.48134702020478, -55.187579335738, 19.136818786401836]","2","1"
"48","[260, 300, 18, 9, 231, 299, 8, 10, 134.10867773230677, 71.45483185351047, 72.831337129492923, 59.183340576197871, 69.96751299422607, 68.853358775374105, 38.737542932272248, -46.850511183393905, -10.539086434442154, -61.769412968810407, -47.838526314048146, 42.069398324999483, 15.847561875563899, 66.199631437141036, 48.407833241802749, 61.689122176355269, 59.988032428172716, 9.6581900197255131, 16.688825407523858, -26.822406559137612, 24.284747376969584, -47.742226151099487]","2","0"
"5","[292, 300, 11, 6, 296, 292, 14, 4, 10.024212854202931, 29.825734878884703, 1.5222391901277406, 49.893212082023709, -4.8554180763507562, 11.548797048752595, 15.510611348254544, -33.479418548158101, -59.885142746683471, -83.911812934791371, -174.08625240559883, 112.81845060171879, 0.87715743380603717, 72.977300280234047, 58.559095920543783, -81.535663794594512, 2.6423702392547894, 20.35996897208209, -19.903575307222155, -52.833108030422792, 0.33012916260288316, -76.437822073445602]","3","0"
"6","[317, 300, 46, 7, 112, 199, 11, 10, 15.847561875563899, -0.17133994328019098, 42.069398324999483, 48.407833241802749, 61.689122176355269, 59.988032428172716, 16.688825407523858, 9.6581900197255131, -80.921841713146122, 24.284747376969584, -70.472142847683372, -5.5484935596148945, -0.24024174533595, -0.71254607014277294, -113.53550810707961, 46.170485238556779, 13.288787329382314, -51.469468533589364, -10.635127762895479, -11.392456010736318, -84.553117094516708, -59.269980726310543]","4","1"
"11","[338, 299, 15, 10, 338, 300, 11, 8, 134.10867773230677, 71.45483185351047, 72.831337129492923, 69.96751299422607, 68.853358775374105, -141.1952912406945, 59.183340576197871, -46.850511183393905, -10.539086434442154, -48.833541675766597, -47.838526314048146, 112.81845060171879, 0.87715743380603717, 72.977300280234047, 58.559095920543783, -81.535663794594512, 20.35996897208209, -72.035078290125199, -19.903575307222155, 0.33012916260288316, -3.5717079565165988, -76.437822073445602]","5","1"
"14","[142, 262, 19, 10, 146, 112, 8, 1, -5.5484935596148945, -0.24024174533595, -0.71254607014277294, 24.050535972144559, -113.53550810707961, 46.170485238556779, -51.469468533589364, -11.392456010736318, -25.251342631983391, -84.553117094516708, -59.269980726310543, 97.574504381381217, 90.155959322646055, 95.342240244692746, 83.998353243551165, 21.48577247804527, 22.032903317924639, 12.693655915989449, -6.7302102360547984, 19.136818786401836, 11.679103271354505, -55.187579335738]","6","0"
"22","[207, 287, 18, 10, 210, 276, 9, 5, 49.330194225751725, 26.960644193050005, 53.984103711744808, 45.156650612012484, -30.698464981390078, 70.547867927614803, -69.097668105101548, -6.1467719454244909, -10.282041664928714, -16.907542830542177, -111.02905810057545, 134.10867773230677, 71.45483185351047, 72.831337129492923, 59.183340576197871, 69.96751299422607, 68.853358775374105, -141.1952912406945, -46.850511183393905, -48.833541675766597, -10.539086434442154, -47.838526314048146]","7","0"
"25","[189, 280, 12, 10, 191, 219, 4, 5, 12.934158247075411, 29.825734878884703, 1.5222391901277406, 49.893212082023709, 10.024212854202931, -4.8554180763507562, 11.548797048752595, 15.510611348254544, -17.632771910359285, -33.479418548158101, -59.885142746683471, 134.10867773230677, 71.45483185351047, -141.1952912406945, 72.831337129492923, 59.183340576197871, 69.96751299422607, 68.853358775374105, -46.850511183393905, -48.833541675766597, -10.539086434442154, -61.769412968810407]","8","1"
"29","[296, 292, 15, 10, 300, 298, 8, 7, 134.10867773230677, 71.45483185351047, 72.831337129492923, -141.1952912406945, 69.96751299422607, 68.853358775374105, 59.183340576197871, -46.850511183393905, -10.539086434442154, -61.769412968810407, -47.838526314048146, 82.82671133158388, 28.038870579670927, 19.494487575794786, 117.02410354173399, 32.148276094205762, 4.0024567466741425, 28.218554522083203, -23.105571461398018, 15.202641557145443, -42.662703348669702, -9.9290494423721416]","9","1"
"33","[151, 238, 5, 7, 164, 205, 13, 3, 100.28468850750757, 11.656439930031071, 66.887558852896959, 53.617997580332769, 64.982710958840968, -30.93229177601048, -24.525905350403331, -15.929623912765937, -10.572458325936852, -66.240712097779706, -18.10734755716053, 15.847561875563899, -0.17133994328019098, 66.199631437141036, 16.688825407523858, 48.407833241802749, 61.689122176355269, 9.6581900197255131, 42.069398324999483, -80.921841713146122, 24.284747376969584, -26.822406559137612]","10","1"
